gazetteerId,placeName,sourcePlaceName,pleiadesId,pleiadesName,latitude,longitude,featureType,description,uri,confidence
GAZ00001,Abina,Abina,915818,Abina,,,unknown,"An ancient place, cited: BAtlas 93 unlocated Abin(n)a",http://pleiades.stoa.org/places/915818,confirmed
GAZ00002,Abusina,Abusina,118539,Abusina,48.850022,11.77073,unknown,"Abusina was the site of a Roman auxiliary fort along the Danube, some 30 km SW of Regensburg.",http://pleiades.stoa.org/places/118539,confirmed
GAZ00003,Acadama,Acadama,668177,Acadama,35.083196,38.423851,unknown,"An ancient place, cited: BAtlas 68 F3 Acadama",http://pleiades.stoa.org/places/668177,confirmed
GAZ00004,Acimincum,Aciminci,206874,Acumincum,45.13739,20.260639,unknown,"Acumincum (Stari Slankamen) was a settlement of the Scordisci that was later conquered by the Romans. During the Flavian period, the cohors I Britannica equitata and II Adjutrix were based there.",http://pleiades.stoa.org/places/206874,confirmed
GAZ00005,ad cohortem Gallicam,ad cohortem Gallicam,240849,Ad Cohortem Gallicam,,,unknown,"An ancient place, cited: BAtlas 24 unlocated Ad Cohortem Gallicam",http://pleiades.stoa.org/places/240849,confirmed
GAZ00006,Ad Mauros,Ad Mauros,118543,Ad Mauros,48.308623,14.023625,unknown,"An ancient place, cited: BAtlas 12 H4 Ad Mauros",http://pleiades.stoa.org/places/118543,confirmed
GAZ00007,Ad Militare,Ad Militare,197073,Ad Militare,45.850803,18.85223,unknown,"An ancient place, cited: BAtlas 20 F4 Ad Militare",http://pleiades.stoa.org/places/197073,confirmed
GAZ00008,Ad Statuas,Ad Statuas,197085,Ad Statuas,46.248772,18.686978,unknown,"An ancient place, cited: BAtlas 20 F3 Ad Statuas",http://pleiades.stoa.org/places/197085,confirmed
GAZ00009,Adiuuense,Adiuuense,118541,Ad Iuvense,48.167341,14.715782,unknown,"An ancient place, cited: BAtlas 12 H4 Ad Iuvense?",http://pleiades.stoa.org/places/118541,confirmed
GAZ00010,Admatha,Admatha,678131,Admatha,32.684043,35.665625,unknown,"An ancient place, cited: BAtlas 69 C4 Emmatha",http://pleiades.stoa.org/places/678131,confirmed
GAZ00011,Aegeta,Aegetae,207107,Egeta,44.469116,22.445309,unknown,"An ancient place, cited: BAtlas 21 E5 Egeta",http://pleiades.stoa.org/places/207107,confirmed
GAZ00012,Aegeta,Aegeta,207107,Egeta,44.469116,22.445309,unknown,"An ancient place, cited: BAtlas 21 E5 Egeta",http://pleiades.stoa.org/places/207107,confirmed
GAZ00013,Aesica,Aesica,89095,Aesica,54.994861,-2.464486,unknown,"(A)Esica, also known as Great Chesters, was a fort on the line of Hadrian's Wall.",http://pleiades.stoa.org/places/89095,confirmed
GAZ00014,Affrodito,Affrodito,736889,Aphrodito,29.408419,31.25167,unknown,"An ancient place, cited: BAtlas 75 E2 Aphrodito(polis)",http://pleiades.stoa.org/places/736889,confirmed
GAZ00015,Afro,Afro,699887,Afro,,,unknown,"An ancient place, cited: BAtlas 71 unlocated Afro",http://pleiades.stoa.org/places/699887,confirmed
GAZ00016,Aila,Ailae,746700,Aila,29.796591,34.94276,unknown,The city of Aqaba on the Red Sea.,http://pleiades.stoa.org/places/746700,confirmed
GAZ00017,Ala Nova,Ala Nova,128354,Ala Nova,48.141031,16.477115,unknown,"An ancient place, cited: BAtlas 13 B4 Ala Nova",http://pleiades.stoa.org/places/128354,confirmed
GAZ00018,Aletum,Aleto,69556,Aletum,48.635814,-2.027308,unknown,"An ancient place, cited: BAtlas 7 D3 Reginca/Aletum",http://pleiades.stoa.org/places/69556,confirmed
GAZ00019,Alione,Alione,89097,Alione,54.720887,-3.49391,unknown,"A Roman fort at present-day Maryport, cited: BAtlas 9 D6 Alauna/Alione. Part of Cumbrian coastal defenses.",http://pleiades.stoa.org/places/89097,confirmed
GAZ00020,Alisca,Aliscae,197103,Alisca,46.312562,18.757918,unknown,"An ancient place, cited: BAtlas 20 F3 Alisca",http://pleiades.stoa.org/places/197103,confirmed
GAZ00021,Altinum,Altino,197110,Altinum,45.956108,18.683919,fort,"An ancient place, cited: BAtlas 20 F4 Altinum",http://pleiades.stoa.org/places/197110,confirmed
GAZ00022,Altinum,Altino,216700,Altinum,44.188552,27.699403,fort,"An ancient place, cited: BAtlas 22 E4 Altinum",http://pleiades.stoa.org/places/216700,confirmed
GAZ00023,Amida,Amidae,874298,Amida,37.911777,40.224033,unknown,"An ancient place, cited: BAtlas 89 C3 Ad Tygrem/Amida",http://pleiades.stoa.org/places/874298,confirmed
GAZ00024,Ammattha,Ammattha,668183,Ammattha,35.684651,37.65125,unknown,"An ancient place, cited: BAtlas 68 E2 Ammattha",http://pleiades.stoa.org/places/668183,confirmed
GAZ00025,Analiba,Analiba,628922,Analiba,39.528217,38.582014,unknown,"An ancient place, cited: BAtlas 64 H1 Analib(l)a",http://pleiades.stoa.org/places/628922,confirmed
GAZ00026,Anatha,Anatha,668196,Anatha,34.671287,38.582516,unknown,"An ancient place, cited: BAtlas 68 G4 Aracha/Anatha/‘Harae’",http://pleiades.stoa.org/places/668196,confirmed
